Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
164	-0.1733	13.6792	0.08333	10.633	11.305	11.719	11.946	12.306	12.555	12.935	13.679	14.474	14.923	15.236	15.715	16.035	16.661	17.802
165	-0.1733	13.685	0.08334	10.637	11.309	11.724	11.951	12.311	12.561	12.94	13.685	14.48	14.929	15.243	15.722	16.042	16.668	17.81
166	-0.1733	13.6907	0.08335	10.641	11.314	11.729	11.956	12.316	12.566	12.946	13.691	14.486	14.936	15.249	15.728	16.049	16.676	17.818
167	-0.1733	13.6963	0.08335	10.646	11.318	11.734	11.961	12.321	12.571	12.951	13.696	14.492	14.942	15.256	15.735	16.056	16.682	17.825
168	-0.1733	13.7019	0.08336	10.65	11.323	11.738	11.965	12.326	12.576	12.956	13.702	14.498	14.948	15.262	15.742	16.062	16.69	17.833
169	-0.1733	13.7074	0.08336	10.654	11.327	11.743	11.97	12.331	12.581	12.961	13.707	14.504	14.954	15.268	15.748	16.069	16.696	17.84
170	-0.1733	13.7129	0.08337	10.658	11.331	11.747	11.975	12.335	12.586	12.967	13.713	14.51	14.96	15.274	15.754	16.076	16.704	17.848
171	-0.1733	13.7183	0.08337	10.662	11.336	11.752	11.98	12.34	12.591	12.972	13.718	14.516	14.966	15.28	15.761	16.082	16.71	17.855
172	-0.1733	13.7237	0.08338	10.666	11.34	11.756	11.984	12.345	12.596	12.977	13.724	14.522	14.972	15.287	15.767	16.089	16.717	17.863
173	-0.1733	13.7289	0.08339	10.67	11.344	11.761	11.988	12.349	12.6	12.982	13.729	14.527	14.978	15.293	15.773	16.095	16.724	17.87
174	-0.1733	13.7342	0.08339	10.674	11.348	11.765	11.993	12.354	12.605	12.987	13.734	14.533	14.984	15.299	15.779	16.101	16.73	17.877
175	-0.1733	13.7394	0.0834	10.677	11.353	11.769	11.997	12.359	12.61	12.991	13.739	14.538	14.99	15.305	15.786	16.108	16.737	17.884
176	-0.1733	13.7445	0.0834	10.681	11.357	11.774	12.002	12.363	12.614	12.996	13.745	14.544	14.995	15.31	15.792	16.114	16.743	17.891
177	-0.1733	13.7496	0.08341	10.685	11.361	11.778	12.006	12.368	12.619	13.001	13.75	14.549	15.001	15.316	15.798	16.12	16.75	17.898
178	-0.1733	13.7546	0.08341	10.689	11.365	11.782	12.011	12.372	12.624	13.006	13.755	14.555	15.006	15.322	15.803	16.126	16.756	17.905
179	-0.1733	13.7595	0.08342	10.692	11.369	11.786	12.015	12.377	12.628	13.01	13.76	14.56	15.012	15.327	15.809	16.132	16.762	17.912
180	-0.1733	13.7645	0.08342	10.696	11.373	11.79	12.019	12.381	12.633	13.015	13.765	14.565	15.017	15.333	15.815	16.138	16.768	17.918
181	-0.1733	13.7693	0.08343	10.7	11.376	11.794	12.023	12.385	12.637	13.019	13.769	14.57	15.023	15.338	15.821	16.144	16.775	17.925
182	-0.1733	13.7741	0.08343	10.703	11.38	11.798	12.027	12.389	12.641	13.024	13.774	14.575	15.028	15.344	15.826	16.149	16.78	17.931
183	-0.1733	13.7789	0.08343	10.707	11.384	11.803	12.031	12.394	12.646	13.028	13.779	14.581	15.033	15.349	15.832	16.155	16.786	17.938
184	-0.1733	13.7836	0.08344	10.711	11.388	11.806	12.035	12.398	12.65	13.033	13.784	14.586	15.039	15.355	15.838	16.161	16.792	17.944
185	-0.1733	13.7883	0.08344	10.714	11.392	11.81	12.039	12.402	12.654	13.037	13.788	14.591	15.044	15.36	15.843	16.166	16.798	17.95
186	-0.1733	13.7929	0.08345	10.717	11.395	11.814	12.043	12.406	12.658	13.042	13.793	14.596	15.049	15.365	15.849	16.172	16.804	17.957
187	-0.1733	13.7975	0.08345	10.721	11.399	11.818	12.047	12.41	12.662	13.046	13.798	14.6	15.054	15.37	15.854	16.177	16.81	17.963
188	-0.1733	13.802	0.08345	10.724	11.403	11.822	12.051	12.414	12.667	13.05	13.802	14.605	15.059	15.375	15.859	16.183	16.815	17.969
189	-0.1733	13.8065	0.08346	10.728	11.406	11.826	12.055	12.418	12.671	13.054	13.807	14.61	15.064	15.381	15.864	16.188	16.821	17.975
190	-0.1733	13.8109	0.08346	10.731	11.41	11.829	12.059	12.422	12.675	13.058	13.811	14.615	15.069	15.385	15.869	16.193	16.827	17.981
191	-0.1733	13.8153	0.08347	10.734	11.413	11.833	12.062	12.426	12.679	13.063	13.815	14.619	15.074	15.391	15.875	16.199	16.832	17.987
192	-0.1733	13.8197	0.08347	10.738	11.417	11.837	12.066	12.43	12.683	13.067	13.82	14.624	15.078	15.395	15.88	16.204	16.838	17.993
193	-0.1733	13.824	0.08347	10.741	11.421	11.84	12.07	12.434	12.686	13.071	13.824	14.629	15.083	15.4	15.885	16.209	16.843	17.999
194	-0.1733	13.8282	0.08348	10.744	11.424	11.844	12.073	12.437	12.69	13.075	13.828	14.633	15.088	15.405	15.89	16.214	16.848	18.005
195	-0.1733	13.8324	0.08348	10.747	11.427	11.847	12.077	12.441	12.694	13.079	13.832	14.638	15.092	15.41	15.895	16.219	16.854	18.01
196	-0.1733	13.8366	0.08348	10.75	11.431	11.851	12.081	12.445	12.698	13.083	13.837	14.642	15.097	15.414	15.9	16.224	16.859	18.016
197	-0.1733	13.8407	0.08348	10.754	11.434	11.854	12.084	12.449	12.702	13.086	13.841	14.646	15.101	15.419	15.904	16.229	16.864	18.021
198	-0.1733	13.8448	0.08349	10.756	11.437	11.858	12.088	12.452	12.705	13.09	13.845	14.651	15.106	15.424	15.909	16.234	16.869	18.027
