Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
131	0.3353	13.8934	0.07537	10.902	11.597	12.015	12.241	12.594	12.836	13.199	13.893	14.612	15.007	15.279	15.688	15.957	16.474	17.386
132	0.334	13.902	0.07538	10.908	11.604	12.023	12.248	12.602	12.844	13.207	13.902	14.621	15.017	15.289	15.698	15.967	16.485	17.398
133	0.3327	13.9105	0.0754	10.915	11.611	12.03	12.256	12.609	12.852	13.215	13.911	14.63	15.026	15.298	15.708	15.978	16.496	17.41
134	0.3314	13.919	0.07541	10.921	11.618	12.037	12.263	12.617	12.859	13.223	13.919	14.639	15.036	15.308	15.718	15.988	16.507	17.422
135	0.3301	13.9273	0.07542	10.928	11.624	12.044	12.27	12.624	12.867	13.231	13.927	14.648	15.045	15.317	15.728	15.998	16.517	17.433
136	0.3289	13.9356	0.07544	10.934	11.631	12.051	12.277	12.632	12.874	13.239	13.936	14.657	15.054	15.327	15.738	16.009	16.528	17.445
137	0.3276	13.9438	0.07545	10.941	11.638	12.058	12.284	12.639	12.882	13.246	13.944	14.666	15.063	15.336	15.748	16.018	16.539	17.457
138	0.3264	13.9519	0.07547	10.947	11.644	12.065	12.291	12.646	12.889	13.254	13.952	14.674	15.072	15.346	15.757	16.029	16.549	17.468
139	0.3251	13.96	0.07548	10.953	11.651	12.072	12.298	12.653	12.896	13.261	13.96	14.683	15.081	15.355	15.767	16.038	16.559	17.479
140	0.3239	13.9679	0.07549	10.959	11.658	12.078	12.305	12.66	12.904	13.269	13.968	14.691	15.09	15.364	15.776	16.048	16.57	17.49
141	0.3226	13.9758	0.07551	10.965	11.664	12.085	12.312	12.667	12.911	13.276	13.976	14.7	15.099	15.373	15.786	16.058	16.58	17.502
142	0.3214	13.9836	0.07552	10.971	11.67	12.092	12.319	12.674	12.918	13.284	13.984	14.708	15.107	15.382	15.795	16.067	16.59	17.513
143	0.3202	13.9913	0.07553	10.978	11.677	12.098	12.325	12.681	12.925	13.291	13.991	14.716	15.116	15.391	15.804	16.076	16.6	17.523
144	0.319	13.9989	0.07555	10.983	11.683	12.104	12.332	12.688	12.932	13.298	13.999	14.725	15.125	15.399	15.813	16.086	16.61	17.534
145	0.3177	14.0065	0.07556	10.989	11.689	12.111	12.338	12.694	12.939	13.305	14.007	14.733	15.133	15.408	15.822	16.095	16.619	17.545
146	0.3165	14.014	0.07557	10.995	11.695	12.117	12.345	12.701	12.945	13.312	14.014	14.741	15.141	15.417	15.831	16.104	16.629	17.555
147	0.3153	14.0214	0.07559	11.001	11.701	12.123	12.351	12.708	12.952	13.319	14.021	14.749	15.15	15.425	15.84	16.114	16.639	17.566
148	0.3141	14.0287	0.0756	11.006	11.707	12.13	12.357	12.714	12.959	13.326	14.029	14.757	15.158	15.434	15.849	16.122	16.648	17.576
149	0.3129	14.0359	0.07561	11.012	11.713	12.136	12.364	12.721	12.965	13.333	14.036	14.764	15.166	15.442	15.857	16.131	16.657	17.586
150	0.3117	14.0431	0.07563	11.017	11.719	12.142	12.37	12.727	12.972	13.339	14.043	14.772	15.174	15.45	15.866	16.14	16.667	17.597
151	0.3106	14.0502	0.07564	11.023	11.724	12.148	12.376	12.733	12.978	13.346	14.05	14.78	15.182	15.458	15.874	16.149	16.676	17.607
152	0.3094	14.0572	0.07565	11.028	11.73	12.154	12.382	12.739	12.985	13.352	14.057	14.787	15.19	15.466	15.883	16.157	16.685	17.617
153	0.3082	14.0642	0.07567	11.034	11.736	12.159	12.388	12.746	12.991	13.359	14.064	14.795	15.197	15.474	15.891	16.166	16.694	17.627
154	0.307	14.071	0.07568	11.039	11.741	12.165	12.394	12.752	12.997	13.365	14.071	14.802	15.205	15.482	15.899	16.174	16.703	17.636
155	0.3059	14.0778	0.07569	11.044	11.747	12.171	12.4	12.758	13.003	13.372	14.078	14.809	15.213	15.49	15.907	16.183	16.712	17.646
156	0.3047	14.0845	0.0757	11.05	11.753	12.177	12.405	12.764	13.009	13.378	14.085	14.816	15.22	15.498	15.915	16.191	16.72	17.655
157	0.3036	14.0912	0.07572	11.054	11.758	12.182	12.411	12.769	13.015	13.384	14.091	14.824	15.228	15.505	15.924	16.199	16.729	17.665
158	0.3024	14.0977	0.07573	11.06	11.763	12.188	12.417	12.775	13.021	13.39	14.098	14.831	15.235	15.513	15.931	16.207	16.738	17.675
159	0.3013	14.1042	0.07574	11.065	11.768	12.193	12.422	12.781	13.027	13.396	14.104	14.838	15.242	15.52	15.939	16.215	16.746	17.684
160	0.3001	14.1107	0.07575	11.07	11.774	12.199	12.428	12.787	13.033	13.403	14.111	14.845	15.249	15.528	15.947	16.223	16.754	17.693
161	0.299	14.117	0.07577	11.074	11.779	12.204	12.433	12.792	13.039	13.408	14.117	14.851	15.256	15.535	15.955	16.231	16.763	17.702
